Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,Signal_Line,SMA,EMA,Adj Close
09-06-23,119.99,120.04,119.95,119.98,892961,67.76,158.2,106.54,47.72,1.07,2.86,137.27,175.15,119.98
20-09-19,50.56,54.72,49.35,52.99,566621,193.42,103.87,76.26,58.45,-0.93,-3.79,180.17,166.7,52.99
07-06-21,97.01,101.62,95.07,95.92,454255,79.96,171.67,77.09,53.79,3.9,2.64,86.21,162.04,95.92
08-09-23,83.3,86.18,80.36,84.45,609652,178.38,175.17,199.1,49.12,1.18,-4.83,75.31,145.34,84.45
15-05-19,114.92,116.19,111.13,114.51,703385,151.21,77.17,59.28,68.87,-3.44,3.93,101.34,138.71,114.51
11-07-21,128.49,131.97,126.98,128.51,207648,71.41,62.12,117.47,65.39,-3.96,-4.12,136.07,142.82,128.51
29-09-20,159.7,161.17,158.19,160.31,597617,191.08,136.89,50.86,63.73,4.42,-0.35,80.93,156,160.31
14-04-20,139.05,141.49,138.74,139.74,174286,196.24,93.89,190.62,49.08,1.04,-2.98,197.78,167.82,139.74
24-02-19,93.42,95.25,89.72,91.33,827788,101.22,91.41,125.15,53.1,0.97,1.49,190.1,150.71,91.33
11-06-22,191.38,192.69,190.25,190.51,799174,91.13,57.68,176.55,62.93,-3.76,-4.22,133.97,57.51,190.51
22-04-20,64.39,67.95,61.52,66.07,986658,155.09,66.89,120.9,66.73,4.27,-4.39,198.11,179.48,66.07
09-06-22,84.12,84.62,82.32,83.74,978832,184.65,151.14,172.43,50.03,1.39,-3.35,167.38,98.67,83.74
22-07-21,197.37,200.33,193.44,199.29,247883,195.9,73.43,183.86,68.48,4.27,-1.99,85.67,143.76,199.29
28-06-20,143.17,143.8,142.46,142.73,484232,153.79,172.77,65.32,48.1,0.5,2.54,138.56,170.79,142.73
07-04-19,161.76,162.58,157.54,160.58,296744,80.23,142.69,196.22,38.84,-0.5,3.55,188.3,52.41,160.58
13-06-21,176.31,179.73,174.59,176.02,336503,65.94,104.34,111.81,53.86,-3.09,2.16,182.4,91.06,176.02
23-11-20,109.39,112.93,104.96,106.61,544526,119.98,151.21,131.8,49.81,-2.69,1.91,188.7,113.37,106.61
13-04-20,163.5,167.27,160.24,160.39,266569,153.65,159.12,158.76,33.66,-2.69,2.06,166.26,73.94,160.39
08-06-20,83.95,88.57,79.66,84.63,453187,196.57,168.53,72.65,65.49,-4.1,1.63,122.83,52.86,84.63
26-12-22,84.37,88.16,79.63,82.01,739896,104.82,166.27,59.3,68.13,4.7,3.63,148.06,150.97,82.01
05-07-20,92.15,93.78,89.1,93.07,403450,62.82,181.02,95.87,38.99,-0.85,-0.24,123.68,155.24,93.07
22-08-22,149.07,153.93,146.11,151.78,283942,99.73,113.3,127.12,65.08,0.2,-4.34,57.57,190.93,151.78
06-01-24,170.01,172.59,166.74,170.72,311389,91.04,146.89,185.16,66.58,-2.27,-1.04,69.48,192.88,170.72
17-07-19,95.16,95.31,90.43,91.78,139724,75.55,128.67,184.51,39.83,0.4,0.89,52.74,99.51,91.78
01-06-21,142.13,143.1,142.12,142.33,842000,140.82,155.34,183.21,68.71,-3.77,-1.6,148.5,175.41,142.33
09-08-19,82.54,85.69,80.77,84.57,292959,127.12,186.68,74.12,61.85,4.34,2.6,132.89,175.86,84.57
30-12-20,155.53,156.53,154.14,154.66,190873,60.42,71.79,93.02,38.94,-4.84,-3.25,75.56,69.49,154.66
25-05-20,52.51,56.77,48.78,51.91,480204,78.9,184.63,93.25,68.67,-3.43,1.2,168.9,136.73,51.91
11-01-24,194.19,194.85,192.66,193.46,204885,126.67,67.61,149.71,47.32,1.57,2.2,76.63,183.18,193.46
26-10-23,156.55,157.64,155.92,156.81,959316,73.54,177.6,132.06,65.52,0.63,3.86,120.98,121.7,156.81
27-12-22,100.04,101.09,97.92,99.73,793432,178.29,138.65,185.18,34.42,2.65,-4.01,177.19,185.62,99.73
29-05-20,86.48,90.82,82.04,84.64,620002,60.33,79.76,88.76,60.68,-3.96,2.64,61.35,195.58,84.64
02-10-20,131.82,134.93,127.87,133.39,552694,63.31,137.61,108.64,54.79,0.98,-4.04,177.91,112.41,133.39
25-03-20,169.95,170.36,165.49,165.6,960327,147.73,96.62,55.11,43.4,3.52,0.77,180.42,81.61,165.6
02-08-21,109.04,113.62,104.49,107.08,493667,154.98,191.14,121.04,42.78,-2.42,-0.27,180.56,97.42,107.08
22-08-19,88.1,92.61,84.35,84.56,805921,199.6,112.05,101.17,45.91,3.77,2.67,186.6,87.1,84.56
05-04-19,186.94,188.49,186.1,186.34,358837,50.46,175.93,79.83,53.9,-1.85,2.11,92.31,118.48,186.34
30-03-19,71.77,72.62,69.27,70.82,634067,149.48,62.58,188.64,51.17,-0.66,3.39,195.33,69.46,70.82
06-12-23,56.2,57.67,55.08,56.06,748249,117.95,97.81,92.81,32.9,2.33,-1.43,171.17,113.25,56.06
04-01-22,146.94,148,143.32,143.5,134364,58.59,189.69,166.06,47.29,-2.92,-0.35,156.09,182.1,143.5
13-09-20,149.26,149.51,149,149.46,698542,92.21,132.85,105.07,31.5,1.92,-1.5,135.49,143.44,149.46
09-09-23,92.9,96.63,88.41,90.11,466414,126.54,188.69,142.74,32.14,4.93,-4.66,135.91,163.39,90.11
02-07-22,57.48,58.35,56.92,57.45,912668,161.72,188.66,98.66,32.92,-4.77,-0.49,146.36,183.83,57.45
04-10-22,177.21,180.98,173.8,176.9,922002,66.35,137.06,180.36,53.73,2.32,2.06,158.07,160.55,176.9
22-11-21,182.49,185.27,179.54,184.45,783156,139.59,134.79,190.48,56.14,-2.47,-2.24,59.24,165.04,184.45
09-07-19,108.71,113.22,105.04,111.16,942320,116.72,117.58,172.39,33.15,-4.89,-1,100.07,107.61,111.16
28-07-19,166.67,171.36,166.07,170.08,309288,117.56,82.13,103.11,55.33,4.54,0.48,110.38,55.7,170.08
15-03-22,163.46,163.62,161.8,162.59,957244,182.12,199.48,180,45.07,1.26,-0.59,119.36,156.75,162.59
13-03-20,108.68,110.75,108.43,110.36,724116,54.35,134.37,146.71,40.94,0.54,-0.83,169.3,147.71,110.36
24-10-20,192.83,194.42,189.99,191.19,893454,116.73,102.45,78.16,42.91,-4.72,-2.74,89.47,112.08,191.19
09-03-23,138.96,143.27,137,138.18,106537,167.33,119.04,86.83,64.35,1.6,-3.54,147.74,180.04,138.18
06-01-21,117.05,117.26,117.01,117.26,439778,77.97,85.31,190.66,34.43,-4.57,-3.25,114.86,74.41,117.26
06-01-21,121.74,124.17,120.04,122.3,865353,83.15,62.68,190.41,32.85,3.25,-1.42,125.03,116.41,122.3
16-03-22,199.82,203.67,194.87,201.72,407081,113.31,117.42,87.91,66.29,-4.2,2.75,173.74,128.08,201.72
23-05-19,171.54,171.81,171.5,171.56,188957,154.93,176.07,89.98,60.29,0.47,-0.47,118.5,147.51,171.56
10-09-21,176.32,179.62,175.45,179.32,856606,80.97,94.62,53.81,32.34,4.93,-0.81,57.64,141.09,179.32
07-03-19,112.06,116.19,109.59,111.37,593121,167.83,77.44,193.4,65.87,-2.59,-4.71,59.83,187.97,111.37
09-10-21,198.55,200.99,195.35,197.89,561926,196.04,115.32,184.59,52.33,2.69,-3.91,129.13,78.38,197.89
29-06-19,80.89,83.73,77.96,80.84,748180,107.61,168.04,155.92,31.17,-4.22,-3.45,154.51,96.49,80.84
17-03-22,185.29,185.72,184.32,185.07,529650,120.26,56.17,141.87,54.52,2.92,-0.34,73.63,114.52,185.07
07-06-23,192.98,195.4,191.41,192.45,676938,141.61,168.98,94.29,30.36,-2.89,-4.19,117.2,146.23,192.45
23-02-20,136.69,138.64,135.22,138.26,233314,106.97,144.33,166.71,58.38,0.31,-3.65,172.87,116.59,138.26
23-10-19,196.6,198.23,194.82,197.82,419240,99.62,60.47,125.89,38.85,4.35,4.98,54.57,74.01,197.82
20-07-19,82.83,86.25,79.21,81.01,346877,128.46,101.44,145.02,39.58,2.06,-1.84,125.56,87.67,81.01
08-11-21,162.99,167.27,159.82,160.53,304051,162.96,150.38,64.83,60.71,4.92,-0.27,77.66,186.83,160.53
02-06-22,137.88,139.11,136.61,138.46,422982,93.68,162.81,147.9,39.6,2.02,-1.45,192.34,197.76,138.46
08-06-19,192.6,195.18,187.82,190.44,404668,87.3,66.36,92.7,43.73,-3.04,0.97,187.58,107.18,190.44
17-05-23,61.69,64.54,60.87,62.03,810357,50.94,123.67,134.99,48.56,-2.93,4.79,81.07,182.09,62.03
27-11-22,105.8,106.12,103.41,105.58,623699,149.35,185.01,65.49,44.04,2.1,-4.81,83.44,62.72,105.58
20-06-20,56.09,56.89,53.09,55,814128,171.34,86.09,131.3,66.76,-4.73,-0.6,171.7,147.26,55
12-02-21,188.22,190.74,185.07,188.32,133459,180.54,198.91,147.78,44.78,2.85,-0.63,80.94,185.79,188.32
21-07-19,67.21,68.06,64.93,66.05,761568,167.15,192.66,160.43,51.05,4.51,-4.22,182,122.21,66.05
19-03-23,99.4,100.01,94.82,97.33,385949,73.69,149.09,119.75,30.75,0.5,-3.46,160.76,194.3,97.33
28-08-20,109.4,113.37,108.57,111,951073,62.06,191.21,128.49,32.21,1.38,-4.14,117.08,77.5,111
24-08-19,83.24,87.36,80.83,84.45,986267,175.58,174.62,117.94,55.33,4.84,2.24,89.3,166.02,84.45
26-08-21,95.04,96.03,93.89,95.79,488127,137.75,171.69,162.95,53.68,0.44,4.5,193.59,147.58,95.79
02-07-19,104.9,107.2,100.47,106.6,769191,91.71,107.96,180.42,60.75,3.53,0.45,59.92,103.97,106.6
19-05-20,81.48,81.82,78.84,81.09,501324,59.65,114.52,181.18,35.13,0.15,-2.96,176.54,152.82,81.09
23-11-22,88.48,89.78,86.87,86.94,381232,100.46,143.38,198.77,68.9,1.36,4.02,69.96,163.1,86.94
19-03-23,52.93,54.89,51.87,54.14,161731,98.36,51.43,70.8,31.59,1.96,3.53,112.25,100.27,54.14
30-09-19,73.81,75.26,69.29,73.53,460139,145.71,109.19,123.89,59.67,-2.12,0.71,177.94,106.16,73.53
19-07-22,101.17,102.64,96.87,99.61,732417,99.8,51.12,170.47,31.37,-3.47,4.37,96.92,86.04,99.61
05-10-23,139.68,140.14,139.34,139.42,171060,177.77,75.99,76.66,44.12,1.33,3.85,158.34,123.44,139.42
